station,chip,channel,amplitude,width,transition_point_data,transition_point_erf,std_transition_point_(erf)
11,0,001,1.923543,1000.767211,161.272238,161.27223798867178,0.0016060012366284015
11,1,001,1.841865,1000.07304,233.74269,233.74268968644955,0.0036419719715497264
11,2,001,1.965088,1000.635659,181.384648,181.38464792399034,0.004524098511389302
11,3,001,1.734234,1000.006139,180.409687,180.40968676052998,0.0037639526055848935
11,4,001,1.848843,1001.002002,193.324689,193.32468913279357,0.003119089047089229
11,5,001,2.029422,1000.742599,195.855577,195.85557727328572,0.015885557679613506
11,6,001,2.015199,1001.054753,187.73549,187.73549039845128,0.006775220685259235
11,7,001,2.256561,1001.014499,186.527393,186.52739347252344,9.28881611217786e-05
11,0,002,2.012516,1000.415915,225.484744,225.48474386011011,0.005411040700394444
11,1,002,1.859588,1000.780052,172.590191,172.59019054539795,0.0013102854038277963
11,2,002,1.672933,1000.686688,188.775675,188.7756752709572,0.0019258213415590088
11,3,002,1.713855,999.692196,188.727153,188.7271531413086,0.005474258453770902
11,4,002,1.699239,1000.339011,194.453135,194.45313504862455,0.002925728235906829
11,5,002,1.620983,999.609028,178.28763,178.28763009004572,0.005593139534721811
11,6,002,1.717217,999.821994,195.436819,195.43681874445488,0.004737260063789661
11,7,002,2.535736,1000.76097,216.958417,216.95841749345786,0.0018542111287376747
11,0,003,1.911774,1001.002271,193.337158,193.33715830062135,0.0026328490493560657
11,1,003,1.730014,999.272205,153.26103,153.26102973873645,0.03502604389527168
11,2,003,1.794145,1000.35904,138.063367,138.06336715755862,0.0026327211313539396
11,3,003,1.735434,1001.000155,182.731765,182.73176511766516,0.008021144585336482
11,4,003,1.875952,1001.002124,204.474676,204.47467618139413,0.006359330844959165
11,5,003,1.649025,1000.24595,161.372237,161.37223659100445,0.003106658785717498
11,6,003,1.905298,1001.022382,219.008217,219.00821745023626,0.006874616109950313
11,7,003,2.221215,1000.05974,206.030729,206.0307285966318,0.003568607255012928
11,0,004,1.999008,1001.045542,181.8598,181.85979987606348,0.004107730970519286
11,1,004,1.85672,1001.000275,215.682488,215.68248801164907,0.0032888443491883553
11,2,004,2.07829,1001.280442,214.7681,214.7681004243097,0.012961509224456075
11,3,004,1.790258,999.510572,217.051383,217.0513825663765,0.005440749517039621
11,4,004,1.702179,996.390469,217.543367,217.54336655389972,0.018738753184978113
11,5,004,1.787054,1000.675225,199.27355,199.2735502424852,0.0017187712549875758
11,6,004,1.900989,999.514001,229.989196,229.9891961295746,0.006432897871034517
11,7,004,2.187501,1001.173496,210.213691,210.21369146215034,0.0021315863296976836
11,0,005,1.903034,1000.711155,154.115464,154.11546358518402,0.0031586886256683364
11,1,005,1.767031,1000.04163,220.74689,220.74689020243096,0.00904051768652629
11,2,005,1.76384,1000.6785,222.398262,222.3982619178729,0.0046816583774196095
11,3,005,1.59994,1001.000004,172.472315,172.47231488744038,0.04184891206529544
11,4,005,1.74001,1001.000309,171.533687,171.53368720953236,0.0036879562512235338
11,5,005,1.929006,1000.667956,196.313054,196.31305411736676,0.008366484213197606
11,6,005,1.765296,1000.3314,155.264359,155.2643586289638,0.002634056612283767
11,7,005,1.967882,1000.704854,199.262702,199.26270187580036,0.002327419802461455
11,0,006,2.178547,1001.112564,203.87128,203.8712800499879,0.006567038822306862
11,1,006,2.356002,1001.045552,274.404616,274.4046161642187,0.009918098858319816
11,2,006,1.716038,1000.089641,192.025931,192.0259310066692,0.0025885616033566186
11,3,006,2.097341,1000.998723,184.980788,184.9807875144084,0.022415877579115333
11,4,006,1.744832,998.902929,183.832292,183.8322921206989,0.007460414407773465
11,5,006,1.870688,1001.420011,209.867506,209.8675057658102,0.008226156173807876
11,6,006,1.905699,1000.990552,230.756064,230.75606384760422,0.0015416083977295558
11,7,006,2.034582,1000.539943,254.898602,254.89860214178418,0.002585355103564874
11,0,007,2.260194,1001.046077,157.55135,157.55135025910775,0.000268856086132107
11,1,007,1.948006,1000.66862,151.682193,151.68219311882717,0.006500163320646991
11,2,007,1.822591,1000.609709,168.15956,168.15955955052965,0.0031441949065858545
11,3,007,1.756201,1000.845302,167.125737,167.12573721861943,0.0006093118980766473
11,4,007,1.720419,1001.006123,163.352423,163.35242253961948,0.004858215121057663
11,5,007,2.04708,1000.628915,209.947039,209.9470387046464,0.001564253832347369
11,6,007,1.802742,1000.680918,197.449023,197.4490232763334,0.0027358213333004188
11,7,007,2.598983,1002.662476,237.223269,237.2232693149595,0.010056182480557424
11,0,008,2.200375,1000.097701,150.332018,150.33201801323315,0.009773797554464255
11,1,008,1.872735,1000.817519,165.756578,165.7565782361979,0.004300554427955289
11,2,008,1.644402,1001.004008,172.453294,172.45329366885954,3.357104971800236e-05
11,3,008,1.752566,997.788225,200.683584,200.68358375521893,0.01113481093060836
11,4,008,1.983165,1001.000703,194.345923,194.34592306994207,0.009279586879315405
11,5,008,1.790054,1000.030414,182.623565,182.62356469741584,0.0038866770841585498
11,6,008,1.983604,1001.632245,176.36537,176.3653698061987,0.007411076140220438
11,7,008,2.051438,999.753751,143.394959,143.39495947793716,0.004407425303308036
11,0,009,1.580783,1000.694295,122.632157,122.63215674563675,0.009566546585722403
11,1,009,1.672342,1001.00361,146.367726,146.36772584058878,0.001632160793615062
11,2,009,1.732868,1001.015391,169.527395,169.52739461345726,0.0015923391098798718
11,3,009,1.651079,1000.333574,117.941851,117.94185078637148,0.013934030223607128
11,4,009,1.826007,1000.372994,173.651516,173.65151590228035,0.0023856079202293824
11,5,009,1.720731,1001.051746,154.808045,154.80804484808178,0.00014786309789017354
11,6,009,1.851845,999.680358,161.538153,161.53815337518526,0.00510826543391743
11,7,009,2.355098,1002.555754,181.501403,181.5014026561615,0.01723851887152455
11,0,010,1.869007,1000.666761,193.816094,193.81609388389543,0.004038742689337165
11,1,010,2.235847,1000.560297,233.395284,233.39528372703145,0.0019478518151836665
11,2,010,2.003931,1001.173455,226.564103,226.56410298758647,0.004409837486003139
11,3,010,1.646442,1000.504692,186.599801,186.59980139883433,0.0036455371262026676
11,4,010,1.559066,1000.668149,156.948148,156.94814833029042,0.004650067941449789
11,5,010,1.786459,1001.00014,204.707357,204.70735695951606,0.0036545924491346044
11,6,010,1.836858,1000.700002,186.577123,186.5771233623401,0.002449713273461627
11,7,010,2.071805,1000.013872,245.147044,245.14704439932572,0.003935305815759033
11,0,011,1.887537,1001.205271,234.366052,234.3660524187845,0.000799662862059281
11,1,011,1.151508,998.33334,233.740605,233.74060532846485,0.021008469893846523
11,2,011,1.903719,1001.161497,230.483058,230.4830580450728,0.005964033800457139
11,3,011,1.614855,1001.045078,206.640404,206.640404143047,0.010593764653177129
11,4,011,1.843315,1001.058389,237.924641,237.9246409958743,0.012839422512821521
11,5,011,1.70279,1001.002558,207.131533,207.13153304238492,0.0031189512239305633
11,6,011,1.908292,1001.027574,253.297531,253.29753132878812,0.0027474780694668978
11,7,011,1.981349,1000.825389,186.723309,186.72330877099628,0.00131367290420734
11,0,012,1.858382,1000.672583,186.140043,186.14004347135554,0.0033027668101049254
11,1,012,1.805598,1000.339642,175.250696,175.25069585359296,0.006432042740547927
11,0,013,1.94734,1000.680666,138.069171,138.06917082580335,0.0009597976132416881
11,1,013,1.872458,999.618739,197.884373,197.8843732126508,0.01240570460216648
11,2,013,1.563112,998.86009,195.445937,195.44593683671857,0.009529457933649212
11,3,013,1.596919,1000.037605,229.041733,229.0417331141014,0.0038279228440167125
11,4,013,1.478075,999.380381,155.302104,155.30210396985456,0.006813053792122469
11,5,013,1.692592,1001.002379,196.697855,196.69785472942874,0.000512298427748522
11,6,013,1.7564,1000.79853,178.050048,178.0500478812476,0.0007958778123315838
11,7,013,2.303175,1000.068218,199.136458,199.13645758539604,0.00418189825789791
11,0,014,2.043158,995.247664,178.817177,178.81717716821458,0.023319995991348406
11,1,014,2.002081,1001.023891,195.094169,195.09416870649306,0.0048845214934427755
11,2,014,1.829911,1000.387576,196.139347,196.1393465865553,0.004508664937402091
11,3,014,1.945368,1001.12778,193.923249,193.9232489143634,0.0023059953084037885
11,4,014,1.620377,1000.334537,231.133031,231.1330307910266,0.006298942254435051
11,5,014,1.845999,1001.091971,238.026898,238.02689777031387,0.03249331300773955
11,6,014,1.804623,1000.34831,180.458619,180.4586188782576,0.00259375725611716
11,7,014,2.385747,1000.440817,197.806,197.80600018004023,0.0025897229365464567
11,0,015,1.805112,999.165613,183.304474,183.30447351644216,0.007201200379206887
11,1,015,2.031941,1000.533734,176.709299,176.70929910952768,0.0029067929313459063
11,2,015,1.635171,1000.031406,164.933476,164.93347625784992,0.014783465264884294
11,3,015,1.793033,1000.667486,151.866513,151.86651339698386,0.0053221257878944385
11,4,015,1.710035,1000.676123,166.519272,166.51927170520327,0.00491165985451122
11,5,015,1.713588,1001.018403,150.709428,150.70942787130792,0.00396744683572207
11,6,015,1.773066,1001.066158,128.584516,128.5845162093528,0.005777918981389222
11,7,015,2.067379,999.721607,198.33815,198.33815039684995,0.012693674087165863
11,0,016,1.86851,1001.215611,158.988467,158.98846683330223,0.05701857393577834
11,1,016,1.83104,1001.004771,227.138162,227.1381619327635,0.0031439049386823258
11,2,016,1.629475,1000.420451,178.167252,178.1672516931872,0.0023479320105368527
11,3,016,1.796694,1000.709443,224.712007,224.71200719327533,0.008601608782442146
11,4,016,1.795317,1001.004488,249.395981,249.3959807252221,0.01473705910536312
11,5,016,1.683902,999.668712,161.287729,161.28772933417048,0.005161631592991214
11,6,016,1.897977,1000.121312,159.311791,159.31179140387403,0.011894683612819978
11,7,016,2.122489,1000.774375,165.116822,165.11682230657274,0.0018376320695192305
11,0,017,1.735857,1001.003499,157.069609,157.06960879240333,0.0029730949637917477
11,1,017,1.792245,1000.401185,208.822224,208.82222350196753,0.00580528941047663
11,2,017,1.987935,999.790778,248.388745,248.38874505045538,0.01467657090761717
11,3,017,1.837274,1000.716675,202.676738,202.67673764157112,0.0010261170861287769
11,4,017,1.811706,1000.019304,202.498761,202.49876128291075,0.0035971959113028397
11,5,017,1.646468,1001.001779,235.875203,235.87520318979338,0.0013328428462326997
11,6,017,1.887161,1000.353553,254.35185,254.3518501734732,0.0053533798589647874
11,7,017,2.265712,1000.187368,270.285854,270.2858543576788,0.0052564504649613136
11,0,018,1.762164,1000.095463,188.95187,188.95187003565474,0.0036026623023039995
11,0,019,2.4026,1000.116673,207.387688,207.38768832061422,0.0031620219755017043
11,1,019,1.898263,999.292259,195.874073,195.8740730227499,0.006411834155472795
11,2,019,1.718424,999.339227,231.388573,231.38857313821995,0.016184379974453555
11,3,019,1.880913,1000.570566,214.480354,214.48035434804476,0.01083985802335366
11,4,019,2.036781,1001.475183,203.407308,203.4073074893252,0.005752331634568065
11,5,019,1.587649,1000.037653,211.059449,211.059448836785,0.003949586415426841
11,6,019,1.868677,1001.036529,154.435238,154.4352380316829,0.001525624010044098
11,7,019,2.060134,1001.048675,252.714719,252.71471937419864,0.0030136791350447224
11,0,020,1.904267,1001.004624,171.133684,171.13368395805384,0.0020513773379721347
11,1,020,2.393743,1000.673995,159.23058,159.23058038631302,0.002272355283780521
11,2,020,1.819349,1000.814808,107.974119,107.97411914567999,0.0020093146969529596
11,3,020,1.623655,1000.667893,118.343534,118.34353378908449,0.003880131173865207
11,4,020,1.692698,1000.66979,140.977971,140.9779710604176,0.004231781919313771
11,5,020,1.650227,1000.668986,146.407923,146.4079230021132,0.0019084709613286543
11,6,020,1.79089,1000.667479,163.869063,163.86906313548073,0.007548273292047307
11,7,020,2.62939,1000.801538,150.440889,150.4408894551809,0.00645606504407009
11,0,021,2.054639,1001.312556,170.416383,170.41638303290992,0.0038249329831124865
11,1,021,2.233152,1001.024649,173.940535,173.9405351785329,0.019765611188105707
11,2,021,1.759204,1000.504146,164.339012,164.33901153891765,0.003383267424199118
11,3,021,1.821961,999.681951,139.800029,139.80002908406536,0.004445739073799113
11,4,021,1.898374,1000.357389,156.103861,156.10386103974162,0.004015683152580279
11,5,021,1.827383,1001.061206,147.91288,147.91287949502038,0.016280662342085438
11,6,021,1.848926,999.78087,201.077923,201.07792311686705,0.006338519237608279
11,7,021,2.437706,999.538857,176.461463,176.4614634791537,0.008640933960991597
11,0,022,2.129971,1000.797908,169.421729,169.42172897886414,0.0008269752648856093
11,1,022,1.804289,1001.008044,145.379037,145.3790370218534,0.011874415342371748
11,2,022,1.761962,1001.009937,179.960068,179.9600675694457,0.006031447155396612
11,3,022,1.920928,1000.112443,165.106609,165.10660917337685,0.009299055902260232
11,4,022,1.559254,1000.667832,188.48055,188.48054987764056,0.001688723491131926
11,5,022,1.777696,1001.0068,219.02722,219.02722032265092,0.004408094150183554
